Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
5,virginia,florida state,ACC,7,8,7,0,1,-1
5,arizona state,tcu,Big 12,-2,-2.5,-2.5,0.5,0,0
5,oregon state,houston,,7,8,9,2,1,1
5,ohio,bowling green,MAC,-8,-5,-8,0,3,0
5,james madison,georgia southern,Sun Belt,-10,-13,-11.5,1.5,1.5,0
5,toledo,akron,MAC,-23,-20,-19,4,1,1
5,west virginia,utah,Big 12,11,14,12,1,2,0
5,old dominion,liberty,,-6,-10,-13.5,7.5,3.5,1
5,florida atlantic,memphis,American,13,11,11.5,1.5,0.5,2
5,northern illinois,san diego state,,5,pick,-1.5,6.5,1.5,3
5,arkansas,notre dame,,6.5,6,5,1.5,1,4
5,boston college,california,ACC,-4,pick,-3.5,0.5,3.5,3
5,nc state,virginia tech,ACC,-8,-15,-7.5,0.5,7.5,2
5,iowa,indiana,Big Ten,6,4,4,2,0,3
5,pittsburgh,louisville,ACC,4,4,3,1,1,3
5,syracuse,duke,ACC,-6,-2,-4,2,2,3
5,syracuse,duke,ACC,-6,2,4,10,2,4
5,wake forest,georgia tech,ACC,14,14,16,2,2,4
5,central michigan,eastern michigan,MAC,-5,-7,-7.5,2.5,0.5,5
5,northwestern,ucla,Big Ten,-3,-6,-5.5,2.5,0.5,6
5,minnesota,rutgers,Big Ten,-7,-7,-3,4,4,6
5,vanderbilt,utah state,,-24,-22,-23.5,0.5,1.5,5
5,air force,hawaii,Mountain West,pick,-5,-3,3,2,6
5,boise state,appalachian state,,-8,-14.5,-14,6,0.5,7
5,new mexico,new mexico state,,-6,-10,-12,6,2,8
5,stanford,san jose state,,-3,pick,-1,2,1,9
5,southern miss,jacksonville state,,3,-3,-3,6,0,10
5,kansas,cincinnati,Big 12,-6,-8,-8,2,0,11
5,iowa state,arizona,Big 12,-7,-7,-7.5,0.5,0.5,11
5,navy,rice,American,-7,-8,-10.5,3.5,2.5,12
5,mississippi state,tennessee,SEC,-13,-10,-9.5,3.5,0.5,13
5,oklahoma state,baylor,Big 12,21,17,17,4,0,14
5,south carolina,kentucky,SEC,-4,-7,-7,3,0,15
5,north texas,south alabama,,-4,-7,-9,5,2,16
5,kansas state,ucf,Big 12,-6,-7,-6.5,0.5,0.5,16
5,ole miss,lsu,SEC,1,2,1,0,1,15
5,tulsa,tulane,American,13,14,14,1,0,16
5,louisiana,marshall,Sun Belt,-7,-3,-1.5,5.5,1.5,17
5,illinois,usc,Big Ten,6,7,7,1,0,18
5,louisiana-monroe,arkansas state,Sun Belt,-2.5,pick,-1.5,1,1.5,17
5,missouri,umass,,-35,-40,-39,4,1,18
5,texas a&m,auburn,SEC,-5,-4,-4.5,0.5,0.5,18
5,kennesaw state,middle tennessee,Conference USA,-3,-3,-3.5,0.5,0.5,18
5,western kentucky,missouri state,CUSA,11,7,4,7,3,19
5,colorado state,washington state,-6,-6,-6,0,0,1,19
5,penn state,oregon,Big Ten,-3,-3,-3,0,0,19
5,georgia,alabama,SEC,-3,-3,-3,0,0,19
5,utep,louisiana tech,Conference USA,pick,-1,pick,0,1,18
5,washington,ohio state,Big Ten,8.5,10,10,1.5,0,19
5,colorado,byu,Big 12,7,7,6,1,1,19
