,Week,Home Team,Away Team,Conference Game,Jackson Guess,Jameson Guess,Actual Line,Jackson Distance,Jameson Distance,Score
0,7,middle tennessee,missouri state,Conference USA,2,3,3,1,0,1
1,7,utep,liberty,Conference USA,5,3,2,3,1,2
2,7,kennesaw state,louisiana tech,Conference USA,5,5,6,1,1,2
3,7,georgia southern,southern miss,Sun Belt,-3,1,2,5,1,3
4,7,sam houston,jacksonville state,Conference USA,8,2,9,1,7,2
5,7,tulane,east carolina,American,-13,-10,-8,5,2,3
6,7,north texas,south florida,American,2,pick,pick,2,0,4
7,7,colorado state,fresno state,Mountain West,2,-5,7,5,12,3
8,7,kent state,umass,,-3,-1,-1,2,0,4
9,7,temple,navy,American,5,6,8,3,2,5
10,7,cincinnati,ucf,Big 12,-7,-14,-13,6,1,6
11,7,florida atlantic,uab,American,-8,-7,-2,6,5,7
12,7,army,charlotte,American,8,13,15,7,2,8
13,7,james madison,louisiana,Sun Belt,-16,-14,-20,4,6,7
14,7,marshall,old dominion,Sun Belt,14,14,11,3,3,7
15,7,georgia state,appalachian state,Sun Belt,4,7,3,1,4,6
16,7,penn state,northwestern,Big Ten,-27,-25,-22,5,3,7
17,7,boston college,clemson,ACC,13,15,14,1,1,7
18,7,florida state,pittsburgh,ACC,-10,-11,-10,0,1,6
19,7,georgia tech,virginia tech,ACC,-14,-15,-14,0,1,5
20,7,michigan state,ucla,Big Ten,-4,-8,-7,3,1,6
21,7,coastal carolina,louisiana-monroe,Sun Belt,pick,3,-2,2,5,5
22,7,akron,miami (oh),MAC,13,12,9,4,3,6
23,7,bowling green,toledo,MAC,6,7,6,0,1,5
24,7,eastern michigan,northern illinois,MAC,2,pick,-1,3,1,6
25,7,texas tech,kansas,Big 12,-10,-12,-15,5,3,7
26,7,western michigan,ball state,MAC,-14,-13,-9,5,4,8
27,7,missouri,alabama,SEC,8,3,4,4,1,9
28,7,ole miss,washington state,,-32,-35,-33,1,2,8
30,7,colorado,iowa state,Big 12,4,6,5,1,1,8
31,7,utah,arizona state,Big 12,-5,-4,-5,0,1,7
32,7,boise state,new mexico,Mountain West,-13,-14,-15,2,1,8
33,7,usc,michigan,Big Ten,-7,-3,-2,5,1,9
34,7,arizona,byu,Big 12,-3,1,pick,3,1,10
35,7,texas state,troy,Sun Belt,-13,-7,-11,2,4,9
36,7,tennessee,arkansas,SEC,-12,-13,-13.5,1.5,0.5,10
37,7,texas a&m,florida,SEC,-5,-8,-8,3,0,11
38,7,lsu,south carolina,SEC,-10,-9,-9,1,0,12
39,7,illinois,ohio state,Big Ten,18,16,16,2,0,13
40,7,smu,stanford,ACC,-21,-19,-20,1,1,13
41,7,maryland,nebraska,Big Ten,4,4,4,0,0,13
42,7,oklahoma state,houston,Big 12,13,14,16,3,2,14
43,7,utsa,rice,American,-10,-10,-11,1,1,14
44,7,kansas state,tcu,Big 12,1,pick,1,0,1,13
45,7,notre dame,nc state,,-17,-24,-21,4,3,14
46,7,oregon,indiana,Big Ten,-7,-10,-10,3,0,15
47,7,oregon state,wake forest,,pick,3,1,1,2,14
48,7,texas,oklahoma,SEC,-8,-4,-3,5,1,15
49,7,unlv,air force,Mountain West,-14,-13,-7,7,6,16
50,7,hawaii,utah state,Mountain West,-3,-2,-2,1,0,17
51,7,wyoming,san jose state,Mountain West,1,3,1,0,2,16
52,7,minnesota,purdue,Big Ten,-9,-9,-10,1,1,16
53,7,auburn,georgia,SEC,3,3,4,1,1,16
54,7,nevada,san diego state,Mountain West,3,6,4,1,2,15
